filename,label,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
03-01-05-01-01-02-17.wav,angry,-625.6506,77.68839,6.3918333,15.649535,7.1457577,17.115622,-0.79954284,10.7652645,1.530244,-1.867582,3.4961736,4.1676545,2.324322
03-01-02-02-02-01-13.wav,calm,-740.4508,75.06194,3.7541642,12.875745,6.7835903,12.704029,0.9735838,3.130675,-0.76657134,-7.003851,-2.4702072,1.1869292,4.016994
03-01-05-02-01-02-03.wav,angry,-364.18478,67.36594,-19.308813,12.431146,-1.610373,4.454058,-8.195003,1.2907875,-11.496608,-9.479123,-2.2458413,-4.919535,-5.0647087
03-01-02-01-02-01-11.wav,calm,-742.5898,77.87263,16.302908,31.207113,7.2443495,17.545584,3.6896102,9.412281,-0.23175673,0.19097379,1.3019347,1.9625459,4.961073
03-01-08-02-02-01-08.wav,surprised,-592.37866,54.34656,-0.3555197,7.277545,-4.4156184,5.5840793,-9.459206,10.641981,-6.883942,-6.393493,-1.8503135,-3.0424914,-0.20122428
03-01-07-01-01-01-03.wav,disgust,-573.582,84.51252,-9.768131,10.765003,0.062496778,11.318466,-10.694774,0.81419307,-9.129473,-3.4155083,-3.7065914,-1.5936701,3.0000844
03-01-07-02-02-01-24.wav,disgust,-534.35126,53.048775,-19.99443,-2.8204713,-10.900537,-5.445452,-15.473699,-5.1895003,-15.998716,-8.2053175,-3.8836699,-3.6515813,-5.991228
03-01-03-02-01-02-10.wav,happy,-416.00418,52.35721,-21.31299,-5.6443386,-3.7148266,5.051618,-17.672102,-8.342634,-11.866908,-16.485523,-9.217528,-0.75235873,-7.5042424
03-01-08-01-01-01-24.wav,surprised,-698.7616,43.0703,-5.4789057,7.9784985,-7.703867,1.1193428,-9.632206,-0.47044274,-9.218779,-4.056276,-5.355283,-5.575935,-5.2927623
03-01-08-01-02-01-01.wav,surprised,-689.39404,70.91036,1.6139971,13.87252,3.828407,11.299436,-6.1581707,3.8699164,-6.6757092,-3.8586779,-8.293786,-1.8832899,1.6591705
03-01-08-01-01-02-24.wav,surprised,-591.2938,49.854805,-14.407649,2.1519165,-11.367062,-1.1273493,-14.89969,-4.04114,-15.0078335,-7.1954594,-3.7742343,-4.1890283,-6.989947
03-01-03-02-01-02-19.wav,happy,-543.3674,73.06883,-17.213865,8.874999,-6.897733,7.6514535,-2.8602939,0.421577,-14.664878,-8.897484,-5.4762015,-3.519598,3.0105278
03-01-07-02-02-02-06.wav,disgust,-673.5971,66.37311,2.418327,11.185238,-3.2442987,5.791528,-7.7468686,-3.5326233,-3.6031153,-0.48248437,-0.2268842,1.9832562,1.1216586
03-01-01-01-01-02-10.wav,neutral,-578.1701,73.206566,2.0347974,14.9115305,-0.5970036,8.493226,-12.140992,-1.3571067,-11.369603,-6.9111547,-3.3266375,-0.85231936,-2.8861938
03-01-07-02-02-01-04.wav,disgust,-576.42413,47.466667,-10.136212,3.4668016,-8.102889,1.3025728,-12.188063,-3.6243463,-11.2244005,-13.746989,-9.409172,-3.2289066,-5.5875363
03-01-06-01-02-01-01.wav,fearful,-646.4345,74.19784,4.9696426,20.310244,7.6789846,16.816557,-2.4131546,6.36743,-4.006638,-2.7820182,-5.332043,0.042265996,2.033845
03-01-06-02-01-01-02.wav,fearful,-535.523,44.540638,-30.301683,-4.1415024,-7.739762,-6.3114443,-17.439528,-2.251262,-12.8389,-10.43201,-4.3749375,-3.2262971,-8.528458
03-01-08-01-02-01-11.wav,surprised,-605.7032,58.04222,4.1266036,18.612099,-0.5964845,9.617891,-1.9341619,5.4493365,0.5918927,-0.20220897,-5.631972,-1.7613423,1.2533014
03-01-03-02-02-01-19.wav,happy,-517.35767,64.50358,-9.270983,16.54292,-1.1332262,9.194867,-3.0456495,2.8716116,-11.887144,-5.868906,-5.4654555,-2.536951,4.29392
03-01-05-01-01-01-01.wav,angry,-578.98865,62.405315,-8.723745,13.807444,1.7894553,6.853797,-6.7793736,1.681231,-3.1294832,-0.87246543,-9.711343,-3.9222543,1.1898443
03-01-07-02-02-01-16.wav,disgust,-600.0875,59.866695,6.064599,18.247078,-2.0502331,7.751211,-12.605536,-2.6126614,-10.890645,-7.04582,-7.5973454,2.0695343,-6.358903
03-01-03-02-01-02-12.wav,happy,-499.23,56.19915,-15.056889,1.6578029,1.109063,6.857947,-12.224188,0.32003722,-0.87820095,-4.1014204,-2.9136686,3.2919195,-2.6787443
03-01-05-01-02-02-10.wav,angry,-529.8806,81.08531,-6.0262175,5.742434,0.8521981,5.579107,-12.371506,3.1703913,-17.437128,-9.6819315,1.3312438,-4.5921707,-3.9383197
03-01-07-02-01-01-21.wav,disgust,-626.3644,85.229454,-3.5819335,9.515907,7.661771,19.551548,-8.907881,4.1937976,1.7114813,-6.687214,-3.334902,4.8171024,2.7156453
